"version","generated_at","figure","category","purpose","original_path","original_relative_path","status","note"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v30_1_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_1\05_manifests","4_figures_submission_v30_1\05_manifests","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v30_1_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_1\04_source_tables","4_figures_submission_v30_1\04_source_tables","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v30_3_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_3\03_legends","4_figures_submission_v30_3\03_legends","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v30_3_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_3\01_main_figures","4_figures_submission_v30_3\01_main_figures","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v30_3_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_3\05_manifests","4_figures_submission_v30_3\05_manifests","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v30_3_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_3\04_source_tables","4_figures_submission_v30_3\04_source_tables","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v30_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30\03_legends","4_figures_submission_v30\03_legends","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v30_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30\01_main_figures","4_figures_submission_v30\01_main_figures","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v30_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30\05_manifests","4_figures_submission_v30\05_manifests","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v30_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30\04_source_tables","4_figures_submission_v30\04_source_tables","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v32_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v32\03_legends","4_figures_submission_v32\03_legends","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v32_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v32\01_main_figures","4_figures_submission_v32\01_main_figures","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v32_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v32\05_manifests","4_figures_submission_v32\05_manifests","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v32_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v32\04_source_tables","4_figures_submission_v32\04_source_tables","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v33_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v33\03_legends","4_figures_submission_v33\03_legends","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v33_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v33\01_main_figures","4_figures_submission_v33\01_main_figures","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v33_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v33\05_manifests","4_figures_submission_v33\05_manifests","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v33_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v33\04_source_tables","4_figures_submission_v33\04_source_tables","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v34_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v34\03_legends","4_figures_submission_v34\03_legends","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v34_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v34\01_main_figures","4_figures_submission_v34\01_main_figures","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v34_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v34\05_manifests","4_figures_submission_v34\05_manifests","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v34_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v34\04_source_tables","4_figures_submission_v34\04_source_tables","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v35_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v35\03_legends","4_figures_submission_v35\03_legends","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v35_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v35\01_main_figures","4_figures_submission_v35\01_main_figures","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v35_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v35\05_manifests","4_figures_submission_v35\05_manifests","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v35_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v35\04_source_tables","4_figures_submission_v35\04_source_tables","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v36_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v36\03_legends","4_figures_submission_v36\03_legends","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v36_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v36\01_main_figures","4_figures_submission_v36\01_main_figures","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v36_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v36\05_manifests","4_figures_submission_v36\05_manifests","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v36_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v36\04_source_tables","4_figures_submission_v36\04_source_tables","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v37_1_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_1\03_legends","4_figures_submission_v37_1\03_legends","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v37_1_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_1\01_main_figures","4_figures_submission_v37_1\01_main_figures","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v37_1_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_1\05_manifests","4_figures_submission_v37_1\05_manifests","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v37_1_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_1\04_source_tables","4_figures_submission_v37_1\04_source_tables","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v37_2_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_2\03_legends","4_figures_submission_v37_2\03_legends","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v37_2_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_2\01_main_figures","4_figures_submission_v37_2\01_main_figures","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v37_2_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_2\05_manifests","4_figures_submission_v37_2\05_manifests","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_6","fallback_v37_2_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_2\04_source_tables","4_figures_submission_v37_2\04_source_tables","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:16:31","Figure_6","global_powerShell_logs","PowerShell run logs relevant to reproducibility","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\.\PowerShell_console_*.txt","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\.\PowerShell_console_*.txt","missing","No files matched pattern"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:55","Figure_6","v37_3_logs","v37.3 logs if present","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_3\06_logs","4_figures_submission_v37_3\06_logs","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:55","Figure_6","v37_3_main_figures","v37.3 generated figure files if present","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_3\01_main_figures","4_figures_submission_v37_3\01_main_figures","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:55","Figure_6","v37_3_manifests","v37.3 generated manifests if present","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_3\05_manifests","4_figures_submission_v37_3\05_manifests","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:55","Figure_6","v37_3_R_code","v37.3 R hotfix code used to redraw/fix this figure","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\2_code\99_reporting\v37_3_Rcode_hotfix_after_v37_2\02_R_hotfix_v37_3\01_R_code\*Figure_6*.R","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\2_code\99_reporting\v37_3_Rcode_hotfix_after_v37_2\02_R_hotfix_v37_3\01_R_code\*Figure_6*.R","missing","No files matched pattern"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:55","Figure_6","v37_3_source_tables","v37.3 generated source tables if present","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_3\04_source_tables","4_figures_submission_v37_3\04_source_tables","missing","Directory not found for pattern *Figure*6*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v29_1_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v29_1\03_legends","4_figures_submission_v29_1\03_legends","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v29_1_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v29_1\01_main_figures","4_figures_submission_v29_1\01_main_figures","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v29_1_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v29_1\05_manifests","4_figures_submission_v29_1\05_manifests","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v29_1_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v29_1\04_source_tables","4_figures_submission_v29_1\04_source_tables","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v30_1_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_1\03_legends","4_figures_submission_v30_1\03_legends","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v30_1_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_1\01_main_figures","4_figures_submission_v30_1\01_main_figures","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v30_1_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_1\05_manifests","4_figures_submission_v30_1\05_manifests","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v30_1_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_1\04_source_tables","4_figures_submission_v30_1\04_source_tables","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v30_3_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_3\03_legends","4_figures_submission_v30_3\03_legends","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v30_3_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_3\01_main_figures","4_figures_submission_v30_3\01_main_figures","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v30_3_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_3\05_manifests","4_figures_submission_v30_3\05_manifests","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v30_3_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_3\04_source_tables","4_figures_submission_v30_3\04_source_tables","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v30_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30\03_legends","4_figures_submission_v30\03_legends","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v30_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30\01_main_figures","4_figures_submission_v30\01_main_figures","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v30_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30\05_manifests","4_figures_submission_v30\05_manifests","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v30_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30\04_source_tables","4_figures_submission_v30\04_source_tables","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v32_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v32\03_legends","4_figures_submission_v32\03_legends","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v32_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v32\01_main_figures","4_figures_submission_v32\01_main_figures","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v32_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v32\05_manifests","4_figures_submission_v32\05_manifests","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v32_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v32\04_source_tables","4_figures_submission_v32\04_source_tables","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v33_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v33\03_legends","4_figures_submission_v33\03_legends","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v33_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v33\01_main_figures","4_figures_submission_v33\01_main_figures","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v33_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v33\05_manifests","4_figures_submission_v33\05_manifests","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v33_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v33\04_source_tables","4_figures_submission_v33\04_source_tables","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v34_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v34\03_legends","4_figures_submission_v34\03_legends","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v34_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v34\01_main_figures","4_figures_submission_v34\01_main_figures","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v34_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v34\05_manifests","4_figures_submission_v34\05_manifests","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v34_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v34\04_source_tables","4_figures_submission_v34\04_source_tables","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v35_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v35\03_legends","4_figures_submission_v35\03_legends","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v35_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v35\01_main_figures","4_figures_submission_v35\01_main_figures","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v35_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v35\05_manifests","4_figures_submission_v35\05_manifests","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v35_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v35\04_source_tables","4_figures_submission_v35\04_source_tables","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v36_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v36\03_legends","4_figures_submission_v36\03_legends","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v36_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v36\01_main_figures","4_figures_submission_v36\01_main_figures","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v36_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v36\05_manifests","4_figures_submission_v36\05_manifests","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v36_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v36\04_source_tables","4_figures_submission_v36\04_source_tables","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v37_1_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_1\03_legends","4_figures_submission_v37_1\03_legends","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v37_1_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_1\01_main_figures","4_figures_submission_v37_1\01_main_figures","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v37_1_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_1\05_manifests","4_figures_submission_v37_1\05_manifests","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v37_1_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_1\04_source_tables","4_figures_submission_v37_1\04_source_tables","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v37_2_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_2\03_legends","4_figures_submission_v37_2\03_legends","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v37_2_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_2\01_main_figures","4_figures_submission_v37_2\01_main_figures","missing","Directory not found for pattern *Figure*7*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_7","fallback_v37_2_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_2\05_manifests","4_figures_submission_v37_2\05_manifests","missing","Directory not found for pattern *Figure*7*.*"
